session_id,customer_id,campaign_id,session_date,pages_viewed,converted
64,711,19,2023-09-10,7,1
65,1390,8,2022-07-11,8,1
66,116,15,2024-01-27,1,1
67,454,13,2023-05-31,4,0
68,1120,9,2023-06-06,5,0
69,1154,6,2022-03-27,3,0
70,420,18,2024-09-23,6,1
71,465,1,2023-07-25,8,0
72,1432,9,2023-08-24,6,1
73,732,19,2024-03-28,8,0
74,1321,6,2022-03-28,4,0
75,392,13,2022-01-01,3,1
76,309,9,2024-03-23,4,0
77,1116,5,2023-08-11,10,0
78,1351,6,2022-10-12,7,0
79,1167,1,2024-02-14,10,0
80,1443,5,2023-12-08,4,1
81,144,19,2024-02-01,3,1
82,354,9,2024-07-03,10,0
83,1126,5,2022-01-07,9,0
84,1291,18,2022-08-17,4,1
85,297,1,2024-05-28,8,0
86,1198,4,2024-02-23,5,1
87,132,3,2022-07-08,3,1
88,933,11,2022-06-24,1,0
89,22,14,2023-11-02,1,0
90,600,6,2024-03-13,9,1
91,996,16,2023-03-15,5,1
92,883,6,2022-02-08,6,1
93,153,15,2022-10-04,9,0
94,1303,14,2023-02-22,7,1
95,152,1,2024-02-29,10,0
96,708,18,2024-05-08,2,1
97,1470,6,2023-11-05,4,1
98,1135,15,2022-03-27,6,1
99,242,20,2022-11-20,9,0
100,731,11,2024-11-14,4,0
101,249,18,2022-01-30,9,0
102,579,3,2022-06-12,2,1
103,480,9,2024-10-11,4,0
104,114,12,2023-12-25,2,1
105,1447,20,2024-01-16,1,1
106,542,4,2022-05-27,4,1
107,81,18,2023-11-14,5,1
108,709,5,2024-04-24,9,1
109,1220,3,2022-09-30,6,1
110,740,5,2023-08-07,9,1
111,437,6,2023-09-24,3,1
112,303,6,2022-03-12,6,0
113,1371,7,2022-01-27,6,0
114,596,1,2022-10-31,2,0
115,125,16,2022-06-03,5,0
116,1340,1,2024-11-06,7,1
117,705,4,2024-10-28,1,0
118,258,2,2022-11-27,1,1
119,7,4,2022-01-16,1,0
120,555,4,2024-04-07,4,1
121,839,12,2022-01-14,6,0
122,824,1,2022-06-28,6,0
123,1122,14,2023-12-29,7,1
124,386,5,2023-03-03,7,1
125,418,9,2023-06-30,6,1
126,874,1,2023-06-13,4,0
127,383,7,2024-11-20,3,1
128,284,20,2024-08-16,3,1
129,481,20,2024-09-26,5,1
130,255,14,2023-09-03,9,1
131,1394,2,2023-08-01,5,1
132,1295,5,2023-06-11,10,0
133,834,11,2022-11-28,5,0
134,883,7,2024-07-07,3,1
135,1207,1,2022-10-10,8,1
136,481,10,2022-11-21,4,1
137,1276,10,2024-10-11,5,1
138,172,12,2023-07-27,5,0
139,997,17,2023-07-21,5,0
140,1386,14,2023-12-08,10,0
141,666,5,2023-09-06,2,0
142,1384,3,2023-02-24,1,0
143,736,1,2024-07-08,7,0
144,683,10,2023-10-01,8,0
145,762,12,2024-10-27,4,0
146,417,1,2022-11-05,6,0
147,514,4,2022-06-17,5,0
148,580,10,2024-01-14,5,1
149,114,1,2023-11-06,4,1
150,1286,5,2024-01-20,3,0
151,1109,3,2024-08-05,5,1
152,1326,8,2022-02-26,9,1
153,808,5,2023-11-01,3,1
154,969,15,2024-10-21,7,1
155,522,2,2023-08-02,5,1
156,609,20,2022-09-22,9,0
157,491,14,2023-07-17,8,0
158,447,17,2024-08-28,1,1
159,916,5,2023-03-19,3,0
160,690,14,2024-07-07,9,0
161,82,13,2024-03-09,10,1
162,96,16,2022-11-05,9,0
163,423,2,2023-05-26,10,0
164,618,2,2024-11-08,10,1
165,61,11,2024-06-02,1,1
166,35,14,2022-05-04,1,0
167,689,3,2023-12-03,3,0
168,38,8,2022-06-13,4,1
169,630,12,2022-08-08,1,0
170,1112,3,2024-05-20,2,1
171,1193,4,2022-10-06,5,1
172,458,5,2023-11-11,2,0
173,53,18,2024-08-26,8,1
174,421,16,2024-06-16,9,0
175,399,19,2023-01-16,7,1
176,696,10,2024-12-20,2,0
177,1098,11,2022-04-15,2,1
178,1042,20,2022-02-27,1,1
179,161,9,2023-05-19,9,0
180,885,9,2024-11-13,5,1
181,1161,18,2023-05-20,2,0
182,1289,4,2022-12-10,3,0
183,115,4,2024-04-07,8,1
184,1372,14,2024-01-18,5,0
185,1109,13,2023-03-08,10,1
186,1467,16,2023-10-23,2,0
187,748,15,2022-03-03,5,0
188,416,10,2023-01-23,10,1
189,71,16,2022-09-15,7,0
190,635,5,2022-05-06,4,1
191,496,12,2022-01-05,5,0
192,1276,6,2022-11-16,8,0
193,159,12,2024-04-15,7,1
194,240,1,2024-01-10,1,1
195,1011,5,2022-05-21,9,0
196,436,17,2023-07-01,1,0
197,1479,14,2022-02-24,7,0
198,460,12,2022-11-01,7,0
199,1296,17,2022-05-13,6,0
200,1411,5,2023-09-01,7,1
201,688,20,2024-06-22,4,1
202,1242,2,2022-07-03,2,0
203,889,17,2022-06-15,5,0
204,273,14,2024-04-06,2,1
205,1500,11,2023-02-20,7,0
206,1448,5,2022-01-16,10,0
207,432,3,2024-02-21,3,0
208,184,12,2022-02-14,4,0
209,431,1,2022-09-08,3,1
210,957,8,2023-09-07,7,1
211,797,12,2022-05-05,8,1
212,1489,15,2024-05-31,10,0
213,680,11,2024-08-08,4,1
214,462,16,2022-05-28,6,0
215,995,12,2023-08-02,5,1
216,967,13,2024-04-04,1,1
217,1043,12,2023-04-05,8,0
218,1016,18,2022-08-29,1,0
219,253,14,2022-10-28,3,0
220,948,7,2022-12-29,5,0
221,1288,20,2024-01-30,4,1
222,1075,18,2023-01-10,6,1
223,457,6,2024-08-02,9,1
224,1302,12,2022-09-24,7,0
225,668,18,2023-01-19,10,0
226,723,13,2023-11-20,4,1
227,1477,13,2024-06-24,3,1
228,141,11,2023-10-02,3,1
229,464,7,2024-12-10,1,1
230,58,18,2022-04-30,2,0
231,691,7,2023-10-05,1,1
232,1070,18,2022-09-13,1,0
233,552,7,2024-08-18,1,1
234,1323,3,2023-01-19,5,1
235,672,15,2023-02-19,8,1
236,475,18,2022-01-17,1,1
237,780,7,2023-01-27,1,1
238,353,2,2022-10-04,5,1
239,1036,11,2022-01-20,9,1
240,313,20,2023-06-22,5,0
241,973,11,2023-07-19,5,1
242,838,19,2022-08-10,8,0
243,655,20,2022-12-16,5,1
244,437,14,2024-02-15,3,0
245,101,10,2022-03-15,4,1
246,442,2,2022-10-17,9,0
247,1169,3,2024-01-29,5,0
248,433,2,2024-08-15,2,0
249,1167,2,2024-03-23,1,0
250,944,20,2023-07-28,4,1
251,586,5,2024-05-25,6,0
252,942,13,2022-03-18,1,1
253,995,9,2023-02-05,5,0
254,1439,5,2022-08-03,2,1
255,1246,6,2024-07-20,9,1
256,701,5,2022-01-22,3,1
257,1235,3,2024-05-31,9,1
258,663,20,2024-04-13,8,1
259,328,9,2023-10-09,3,0
260,467,19,2024-10-09,9,0
261,1181,1,2023-11-28,2,0
262,489,10,2024-12-07,6,0
263,1463,6,2023-12-04,8,0
264,118,15,2023-11-01,10,1
265,887,12,2023-03-03,10,1
266,845,7,2022-10-18,1,0
267,1218,4,2023-06-25,1,0
268,840,16,2023-01-06,6,0
269,1369,5,2022-09-13,6,0
270,1142,17,2024-07-23,2,1
271,1381,9,2024-07-18,10,0
272,120,7,2023-12-03,1,1
273,486,3,2022-10-28,1,0
274,1035,15,2024-06-12,7,1
275,346,9,2022-11-06,6,1
276,333,9,2022-01-22,9,0
277,1082,16,2024-05-30,7,1
278,1034,10,2024-12-27,1,0
279,1277,9,2022-12-25,4,1
280,836,10,2022-11-15,3,0
281,602,20,2023-08-13,6,1
282,1086,8,2022-04-24,10,1
283,739,4,2023-07-17,10,0
284,1442,20,2023-05-03,2,1
285,401,20,2022-03-11,6,0
286,10,17,2022-06-14,2,0
287,704,19,2022-06-17,6,0
288,718,7,2022-06-14,3,0
289,1031,17,2022-04-18,7,1
290,420,17,2024-10-25,3,1
291,1020,15,2022-05-07,3,1
292,802,1,2022-07-19,1,0
293,1235,4,2022-12-12,6,1
294,1085,14,2024-02-08,5,1
295,1440,5,2024-01-13,3,0
296,559,11,2024-06-10,7,0
297,561,3,2022-01-03,10,0
298,513,20,2024-04-15,5,0
299,455,6,2022-01-07,5,0
300,473,16,2022-06-16,1,0
301,696,14,2022-01-14,8,1
302,382,19,2024-10-13,4,0
303,1010,12,2023-06-27,5,1
304,114,9,2022-05-13,9,0
305,1374,20,2022-11-16,1,0
306,1498,9,2022-04-05,3,0
307,1003,16,2023-04-08,4,0
308,13,9,2024-01-23,7,0
309,1222,14,2024-08-04,2,1
310,943,3,2023-04-29,6,1
311,823,19,2023-09-04,4,1
312,1285,19,2023-09-16,7,0
313,295,1,2024-10-16,9,1
314,733,5,2024-10-07,3,0
315,1,8,2024-10-04,4,1
316,903,14,2022-07-25,4,0
317,933,12,2022-05-16,10,1
318,787,5,2024-10-06,1,1
319,58,6,2024-05-29,8,0
320,765,20,2024-04-14,6,0
321,1301,14,2024-07-08,5,0
322,208,9,2024-11-18,6,0
323,1252,6,2023-11-11,6,0
324,253,13,2023-09-19,7,1
325,1053,17,2022-09-03,10,0
326,1040,4,2022-01-04,3,1
327,662,14,2023-12-02,4,1
328,877,12,2022-11-06,7,1
329,1297,16,2024-04-06,7,0
330,1383,16,2022-03-04,5,1
331,1497,18,2024-09-25,8,0
332,77,17,2022-09-18,5,1
333,555,17,2024-03-07,1,0
334,318,3,2024-08-02,9,0
335,763,17,2024-08-30,6,1
336,428,13,2023-05-10,10,1
337,353,1,2024-03-24,4,0
338,520,11,2024-07-13,9,0
339,1036,10,2022-02-08,8,0
340,1316,17,2024-08-28,7,1
341,498,4,2023-10-22,8,0
342,885,15,2022-10-15,7,0
343,1393,9,2023-07-04,9,0
344,222,5,2023-09-05,10,0
345,816,3,2024-06-08,6,1
346,490,11,2024-09-04,8,0
347,1422,11,2023-05-28,10,1
348,439,4,2024-07-06,10,1
349,800,15,2023-09-02,7,0
350,611,11,2023-10-09,5,0
351,1301,1,2023-12-21,10,1
352,320,5,2024-07-25,10,0
353,581,13,2022-03-29,4,0
354,1317,17,2022-09-23,6,1
355,733,20,2024-06-03,3,0
356,250,15,2022-11-28,8,1
357,1249,5,2023-06-20,1,0
358,193,20,2024-01-14,2,0
359,1022,8,2023-10-10,3,0
360,293,15,2022-12-10,3,1
361,1099,19,2024-03-08,10,1
362,815,9,2022-05-03,5,0
363,1431,3,2022-05-08,4,0
364,6,10,2022-05-09,4,1
365,417,9,2022-08-19,4,0
366,1437,15,2022-10-24,4,0
367,1255,2,2023-06-12,9,1
368,878,11,2023-11-24,8,0
369,97,16,2024-09-23,6,1
370,1377,19,2024-12-25,3,0
371,634,13,2023-03-16,2,0
372,128,16,2022-05-18,5,0
373,1398,8,2024-09-07,7,0
374,1364,11,2024-06-27,1,1
375,96,4,2024-03-29,6,0
376,44,1,2024-11-28,4,0
377,1370,14,2024-04-19,4,0
378,1127,12,2023-03-09,9,1
379,213,9,2024-03-07,10,0
380,141,2,2023-12-26,6,0
381,1294,17,2023-10-24,8,0
382,930,18,2022-10-06,1,1
383,1183,1,2024-02-22,1,0
384,970,14,2022-01-19,5,1
385,992,11,2024-04-04,7,0
386,49,2,2024-11-19,2,0
387,263,13,2024-10-05,5,0
388,152,14,2024-10-26,8,1
389,338,3,2024-05-22,4,0
390,269,2,2023-09-10,1,1
391,62,6,2024-06-02,6,0
392,851,17,2024-10-24,3,1
393,951,5,2022-08-01,6,1
394,800,16,2022-09-15,4,1
395,117,10,2023-11-17,8,1
396,77,14,2022-02-10,8,1
397,191,17,2022-10-13,8,1
398,1389,15,2023-05-31,5,1
399,835,15,2024-02-14,4,1
400,17,13,2024-08-22,5,1
401,1022,12,2022-08-13,1,1
402,1041,20,2024-10-04,2,0
403,272,7,2022-03-28,2,1
404,495,15,2023-12-01,4,0
405,1197,6,2024-01-06,10,1
406,880,6,2023-04-24,6,0
407,277,20,2022-09-20,3,0
408,1138,1,2024-05-16,6,0
409,183,13,2023-08-05,4,1
410,174,11,2022-04-17,2,1
411,1271,16,2022-01-22,7,0
412,938,7,2023-07-28,9,0
413,1134,16,2023-12-28,7,0
414,1211,15,2022-11-21,10,1
415,800,4,2024-12-19,1,1
416,293,20,2022-08-25,8,1
417,1204,3,2023-05-02,4,1
418,1290,17,2022-07-01,7,1
419,577,6,2024-01-16,3,1
420,812,10,2023-08-18,7,1
421,595,4,2023-01-20,7,0
422,127,11,2022-08-14,4,1
423,30,9,2024-04-22,10,1
424,781,17,2024-05-21,8,0
425,1428,2,2022-02-15,8,0
426,994,10,2024-07-20,1,0
427,146,19,2024-04-24,8,1
428,1421,14,2024-05-12,5,1
429,1089,10,2022-01-07,8,1
430,368,6,2024-01-15,7,0
431,1294,13,2023-10-11,10,1
432,472,20,2023-03-16,2,1
433,1037,12,2023-01-22,2,1
434,339,11,2023-12-16,7,0
435,618,8,2023-09-19,1,1
436,1387,16,2024-01-05,7,1
437,714,9,2024-06-25,1,1
438,619,7,2024-01-19,1,1
439,1234,11,2024-07-18,4,1
440,1418,14,2022-08-03,2,0
441,271,2,2024-06-24,10,1
442,121,7,2023-01-24,4,1
443,1394,4,2024-09-09,6,1
444,1148,20,2023-05-02,4,1
445,301,7,2024-01-18,10,0
446,1057,20,2022-07-03,10,0
447,982,13,2024-10-22,8,1
448,245,3,2024-05-02,2,1
449,164,20,2022-10-11,4,1
450,430,12,2023-02-17,7,0
451,65,8,2024-09-22,2,0
452,1022,16,2022-12-03,2,1
453,664,10,2022-03-31,6,1
454,961,12,2023-01-10,2,0
455,440,15,2023-12-23,2,1
456,926,4,2023-03-07,3,1
457,1322,18,2023-09-23,4,1
458,614,17,2024-01-06,4,0
459,1058,13,2024-05-17,4,0
460,402,20,2022-01-12,4,1
461,434,14,2023-01-04,8,1
462,1475,15,2023-05-02,2,0
463,698,16,2022-08-06,9,0
464,681,14,2023-12-07,9,1
465,1500,6,2022-08-29,10,1
466,568,15,2023-10-27,5,0
467,844,19,2024-07-28,7,1
468,1097,10,2024-05-01,7,1
469,736,13,2023-03-27,4,0
470,381,13,2023-06-04,3,0
471,1008,20,2024-07-24,2,1
472,1480,17,2024-07-14,6,0
473,1487,7,2024-12-09,3,0
474,1285,12,2022-09-07,7,0
475,360,4,2022-06-10,6,1
476,559,14,2022-08-31,3,1
477,1210,13,2022-10-08,10,0
478,1176,16,2024-09-06,6,1
479,699,18,2023-02-24,6,1
480,290,18,2023-07-14,7,1
481,559,18,2022-10-19,3,1
482,678,20,2023-04-04,2,0
483,323,6,2024-05-19,6,0
484,478,15,2022-06-24,8,1
485,828,6,2024-12-08,6,1
486,832,16,2024-05-26,4,0
487,222,17,2023-07-14,1,1
488,948,9,2023-10-24,5,0
489,559,20,2022-01-23,4,0
490,1380,18,2023-02-18,3,1
491,572,10,2023-04-17,7,0
492,10,4,2024-09-05,4,1
493,1158,2,2023-08-04,3,0
494,230,14,2024-03-14,6,1
495,1221,16,2024-09-21,9,0
496,1170,13,2022-09-26,9,0
497,221,4,2024-07-11,3,1
498,850,2,2022-01-24,2,1
499,1392,14,2024-04-26,8,1
500,268,19,2024-02-20,4,0
501,894,7,2023-03-11,1,0
502,254,20,2023-06-10,7,0
503,808,7,2022-08-27,10,1
504,840,5,2022-11-29,5,0
505,1011,17,2024-04-19,1,1
506,1221,7,2022-04-02,9,1
507,1425,2,2024-04-21,3,0
508,1293,18,2022-12-14,9,1
509,500,6,2024-09-27,4,0
510,695,3,2023-06-22,8,1
511,59,13,2024-11-23,2,0
512,223,1,2024-02-10,1,1
513,701,10,2023-07-21,6,0
514,978,15,2023-05-05,7,0
515,607,20,2022-05-17,10,1
516,364,20,2024-06-23,10,0
517,524,8,2022-09-04,5,0
518,669,18,2024-07-13,1,1
519,759,18,2023-03-30,4,0
520,1247,17,2022-10-10,3,0
521,57,3,2022-02-16,7,0
522,408,18,2023-01-16,4,1
523,1412,13,2024-06-05,2,1
524,673,9,2024-06-20,7,0
525,1183,4,2024-01-07,9,1
526,564,17,2022-11-05,9,0
527,522,9,2022-10-27,5,0
528,247,17,2022-03-29,6,0
529,611,6,2022-03-15,9,0
530,655,2,2022-01-23,7,1
531,878,20,2024-08-03,8,0
532,1099,12,2022-08-13,3,0
533,307,5,2024-12-23,3,1
534,1170,9,2023-11-16,1,1
535,504,11,2024-04-02,9,0
536,1047,19,2022-12-11,6,1
537,682,16,2024-06-13,1,1
538,898,4,2022-07-11,8,1
539,1433,14,2022-01-26,3,1
540,46,17,2023-10-23,9,1
541,1073,14,2024-10-15,1,0
542,167,17,2024-06-02,4,0
543,1004,20,2022-04-30,5,1
544,1386,5,2024-02-17,7,1
545,752,12,2022-06-30,8,1
546,744,1,2023-08-08,6,1
547,348,19,2022-03-28,6,1
548,370,12,2022-05-13,1,1
549,1330,15,2024-05-21,9,0
550,90,3,2023-01-09,6,1
551,32,7,2023-04-08,8,1
552,147,5,2022-01-07,7,1
553,942,13,2022-06-08,5,0
554,1019,18,2023-08-01,7,1
555,1459,12,2023-07-02,1,1
556,1411,9,2024-03-17,8,1
557,989,1,2023-06-09,4,0
558,591,18,2023-03-26,7,1
559,1227,7,2023-12-24,8,1
560,1341,1,2023-12-05,10,0
561,295,15,2023-05-08,10,1
562,201,4,2022-04-29,9,0
563,148,4,2023-04-24,9,1
564,1059,10,2022-03-15,8,0
565,34,20,2023-08-23,7,1
566,806,11,2022-06-08,6,0
567,753,9,2023-08-21,5,0
568,319,14,2022-02-26,2,0
569,1213,6,2023-09-14,4,0
570,140,4,2023-12-22,3,0
571,109,18,2024-04-08,6,0
572,862,13,2023-01-24,3,1
573,504,10,2024-11-30,10,0
574,900,10,2024-01-15,7,0
575,1428,3,2022-07-18,5,0
576,474,14,2023-03-09,5,0
577,884,14,2022-09-30,3,0
578,1263,20,2022-11-07,10,1
579,227,3,2023-03-31,9,0
580,112,11,2022-04-09,6,0
581,1295,9,2023-03-26,1,1
582,1017,19,2023-11-09,10,1
583,438,9,2023-11-29,5,1
584,1013,7,2022-03-18,7,0
585,1057,12,2023-10-22,4,1
586,837,17,2022-10-26,10,0
587,681,13,2024-11-09,8,0
588,123,10,2022-06-24,8,1
589,472,17,2024-10-14,6,0
590,1060,10,2023-10-06,1,1
591,757,20,2022-06-18,3,0
592,847,9,2023-05-19,9,1
593,431,17,2023-04-25,6,0
594,7,11,2024-01-16,10,1
595,1464,2,2024-02-11,2,1
596,938,2,2024-07-13,4,1
597,866,8,2022-04-18,2,0
598,592,3,2022-10-15,1,1
599,1435,8,2023-12-19,1,1
600,4,19,2022-06-20,9,0
601,1290,3,2022-01-01,6,0
602,1084,13,2022-01-11,4,1
603,788,5,2022-05-16,8,1
604,30,13,2023-11-02,10,0
605,54,11,2022-05-03,10,1
606,1450,10,2022-10-21,2,0
607,960,17,2024-04-22,4,0
608,1447,10,2024-01-05,6,1
609,579,2,2024-01-11,6,0
610,190,9,2023-08-06,1,0
611,396,10,2022-05-22,9,0
612,659,8,2023-05-20,6,1
613,831,12,2022-04-19,9,0
614,94,10,2023-02-22,4,0
615,23,8,2024-01-09,8,1
616,980,15,2024-12-12,2,1
617,951,8,2024-10-09,5,0
618,213,18,2023-09-18,1,0
619,1169,20,2022-09-17,6,0
620,652,4,2023-01-20,6,0
621,28,20,2023-05-28,1,0
622,1099,10,2022-04-26,8,1
623,1135,20,2024-05-01,10,1
624,555,18,2024-11-12,8,0
625,1360,4,2024-01-07,7,0
626,78,12,2022-01-07,4,1
627,1050,4,2024-01-26,10,0
628,355,20,2022-10-29,10,1
629,496,11,2023-07-04,4,0
630,808,2,2024-10-31,1,0
631,1251,13,2023-12-27,6,0
632,570,9,2024-07-19,2,0
633,794,16,2023-04-13,8,0
634,610,7,2023-04-02,8,0
635,402,15,2024-08-02,6,1
636,1037,17,2023-04-25,1,1
637,1032,16,2022-03-30,8,0
638,261,12,2023-05-05,4,1
639,263,10,2022-02-13,8,0
640,181,7,2024-04-12,10,0
641,1019,13,2022-12-26,9,0
642,139,13,2024-11-22,9,1
643,1128,1,2024-07-28,6,0
644,934,13,2023-04-15,3,0
645,4,12,2024-10-15,9,0
646,629,6,2024-08-10,6,0
647,292,8,2024-05-15,8,0
648,753,19,2022-01-11,9,1
649,1222,18,2024-08-23,7,0
650,193,2,2024-10-02,8,1
651,623,2,2024-09-22,9,1
652,542,17,2024-05-03,10,1
653,1311,5,2023-02-12,6,1
654,593,17,2023-08-27,1,0
655,1360,5,2024-10-22,7,0
656,883,7,2023-09-13,4,0
657,1432,19,2023-07-26,1,1
658,18,9,2022-07-11,9,1
659,1015,5,2024-09-27,5,1
660,480,19,2023-10-01,5,0
661,1423,16,2023-07-17,1,0
662,869,14,2023-12-30,6,0
663,1172,3,2023-01-05,4,0
664,111,11,2022-01-27,10,0
665,5,18,2023-12-08,6,1
666,1241,15,2023-06-29,8,1
667,1478,15,2022-05-15,8,1
668,131,14,2024-04-15,3,0
669,1499,16,2024-02-01,3,1
670,1006,12,2022-08-12,10,0
671,1147,16,2022-04-21,3,0
672,1379,5,2022-02-19,2,0
673,1178,1,2023-02-07,2,0
674,1055,13,2022-03-13,6,0
675,1124,19,2024-05-16,8,1
676,768,3,2022-03-27,2,0
677,515,14,2023-10-07,5,1
678,250,9,2022-10-23,4,1
679,960,4,2024-10-14,3,0
680,6,15,2024-03-24,7,1
681,927,2,2022-10-24,3,1
682,1300,7,2023-09-21,5,1
683,249,4,2022-03-04,8,1
684,41,1,2022-04-11,3,1
685,169,1,2022-01-15,7,0
686,883,16,2023-10-19,7,0
687,504,9,2023-11-21,6,0
688,390,18,2024-05-28,8,1
689,812,17,2023-07-27,10,0
690,36,15,2023-09-06,10,0
691,611,18,2022-09-22,9,0
692,1381,13,2022-08-22,3,1
693,1324,7,2024-05-10,2,0
694,1133,18,2022-04-16,6,1
695,527,13,2024-12-30,6,1
696,815,11,2023-11-10,1,0
697,813,14,2023-03-22,9,0
698,718,15,2024-01-30,8,1
699,679,15,2022-11-22,1,0
700,261,9,2024-09-29,8,1
701,1418,1,2023-02-09,9,1
702,1270,9,2024-03-26,4,0
703,6,11,2023-03-04,1,1
704,1467,18,2024-11-20,8,0
705,1455,17,2022-07-25,2,1
706,70,1,2023-12-01,5,0
707,969,14,2024-12-26,9,0
708,229,6,2022-09-30,10,1
709,941,5,2024-12-02,5,0
710,1142,15,2022-08-01,2,1
711,387,5,2024-07-27,8,1
712,244,19,2023-09-28,10,1
713,783,12,2022-04-11,8,0
714,236,1,2022-03-03,10,1
715,1486,11,2022-07-27,10,1
716,1086,19,2022-08-15,3,0
717,1332,16,2024-10-11,3,1
718,424,3,2023-12-31,10,1
719,1295,20,2024-03-28,9,0
720,169,9,2022-08-25,7,0
721,906,17,2022-02-25,8,1
722,552,1,2024-06-13,8,0
723,1329,16,2024-11-10,2,0
724,1396,18,2023-12-28,4,1
725,776,5,2022-07-23,6,0
726,884,2,2024-01-24,5,1
727,448,3,2023-04-01,9,1
728,108,16,2024-07-16,3,0
729,784,4,2022-08-21,4,1
730,194,12,2022-06-21,4,1
731,318,8,2023-07-22,5,0
732,159,6,2023-03-01,3,0
733,222,8,2022-08-22,2,0
734,1079,4,2022-02-12,5,1
735,620,17,2023-04-01,2,1
736,139,8,2024-04-12,2,0
737,202,17,2024-02-29,1,0
738,295,16,2023-12-17,9,0
739,603,1,2022-03-29,6,0
740,850,15,2023-08-17,9,1
741,1407,3,2024-08-01,5,0
742,550,10,2024-04-07,9,0
743,738,5,2022-02-26,7,0
744,34,1,2022-07-27,8,0
745,451,12,2023-06-07,9,0
746,1042,3,2022-12-23,1,0
747,249,2,2022-01-12,1,0
748,316,1,2024-04-14,10,1
749,879,15,2023-02-14,4,1
750,322,7,2024-12-08,10,1
751,197,2,2023-03-27,8,0
752,1099,16,2024-03-23,7,0
753,422,7,2024-08-21,6,0
754,1137,12,2022-12-06,3,0
755,791,13,2023-03-29,10,1
756,1079,11,2022-01-17,8,0
757,1083,7,2024-11-13,3,1
758,788,15,2022-05-19,9,0
759,1380,9,2024-03-04,7,1
760,457,8,2023-01-13,10,0
761,776,18,2024-08-07,10,1
762,553,8,2023-04-23,7,1
763,1298,19,2024-02-17,7,1
764,179,17,2022-01-08,4,1
765,606,16,2024-02-15,6,1
766,1266,10,2022-03-19,10,0
767,338,5,2023-11-06,3,0
768,298,1,2023-01-07,5,1
769,348,19,2023-07-05,9,1
770,1133,12,2022-03-17,10,0
771,823,8,2024-08-10,3,1
772,834,8,2023-01-09,7,0
773,38,13,2022-06-24,9,0
774,273,17,2022-01-02,1,0
775,1385,2,2022-11-07,9,0
776,1354,6,2024-10-06,9,1
777,992,4,2022-05-17,8,0
778,633,15,2024-02-01,4,0
779,542,3,2023-12-12,7,1
780,1025,5,2022-03-09,7,1
781,981,11,2022-09-21,4,1
782,515,3,2024-08-31,4,1
783,503,14,2022-01-07,10,0
784,201,6,2024-09-29,3,1
785,372,7,2024-11-30,6,0
786,980,1,2022-11-12,2,0
787,1029,20,2024-10-21,9,1
788,90,11,2022-09-15,5,1
789,1222,12,2023-04-08,3,0
790,1493,6,2023-09-11,2,1
791,1018,5,2022-06-24,4,1
792,731,13,2024-09-28,4,0
793,810,14,2024-03-06,6,1
794,203,1,2022-06-07,1,0
795,872,9,2024-09-05,3,0
796,1047,17,2023-05-04,4,1
797,680,9,2022-12-09,6,0
798,930,16,2023-11-03,9,0
799,510,7,2024-04-08,9,0
800,1242,20,2023-11-03,6,0
801,1019,10,2022-05-07,2,0
802,129,13,2022-03-30,4,1
803,1365,17,2024-11-08,3,0
804,197,17,2023-10-09,5,1
